约翰	1602.120222
威廉	843.487692
亚历山大	687.327627
彼得	662.999886
乔治	662.083340
保罗	658.570075
大卫	560.061144
卡尔	518.800000
托马斯	500.235630
约瑟夫	461.036331
亨利	388.379769
尼古拉	368.893216
迈克尔	337.382524
丹尼尔	336.564268
查尔斯	335.400000
理查德	308.292749
爱德华	307.818574
穆罕默德	305.216403
菲利普	274.982016
克里斯	273.800000
杰克	267.400000
克里斯蒂安	266.200000
玛丽亚	248.000000
埃里克	229.400000
弗兰克	223.236573
汉斯	221.000000
弗拉基米尔	212.973225
比尔	212.420291
玛丽	207.400000
泰勒	207.026170
艾伦	199.532279
卡洛斯	198.477137
凯文	198.064007
布朗	189.523355
亚当	184.200000
安东尼奥	182.200000
迈克	180.200000
西蒙	177.200000
斯科特	176.600000
琼斯	172.200000
弗雷德里克	164.800000
约翰逊	161.327454
斯蒂芬	154.276395
恩斯特	151.800000
维克托	151.600000
布莱恩	149.827057
尼克	149.000000
米哈伊尔	146.800000
帕特里克	141.000000
哈里	140.308692
奥托	137.674762
托尼	135.518010
丹尼斯	131.971599
阿里	131.400000
赫尔曼	128.000000
斯特凡	125.000000
格林	124.827626
艾哈迈德	124.781735
威廉斯	122.200000
华盛顿镇区	122.000000
阿尔弗雷德	121.788561
雅各布	120.000000
阿列克谢	119.400000
尼古拉斯	119.000000
奥斯卡	117.927501
尼尔	116.800000
伊丽莎白	116.200000
奥古斯特	116.011646
杰夫	115.600000
麦克	115.400000
斯图尔特	114.200000
布鲁斯	114.000000
道格拉斯	113.325358
克拉克	113.100000
古斯塔夫	112.908769
威尔逊	112.484200
瓦西里	110.000000
阿道夫	109.424869
弗里德里希	108.800000
路德维希	108.687596
沃尔特	108.600000
欧文	108.578326
克里斯蒂娜	108.200000
瓦尔特	106.517805
城关镇	106.000000
曼努埃尔	105.600000
凯瑟琳	105.200000
杰克逊镇区	103.000000
埃米尔	102.878342
萨拉	102.200000
克里斯托弗	101.600000
弗朗西斯科	101.600000
杰克逊	101.527001
弗朗索瓦	101.489037
雅克	101.200000
格奥尔格	101.000000
肖恩	100.000000
克劳斯	99.509212
帕维尔	98.600000
乔丹	98.511101
乔纳森	98.400000
布鲁诺	97.837028
加里	96.847751
德米特里	96.800000
乔瓦尼	96.800000
弗朗西斯	96.595722
腓特烈	96.400000
维多利亚	96.300000
哈罗德	96.166192
奥利弗	95.286738
海因里希	94.800000
赫伯特	94.800000
佩德罗	94.000000
阿兰	93.178545
丹尼	92.800000
蒂姆	92.000000
拉斐尔	91.400000
玛格丽特	91.308411
劳伦斯	91.106696
格奥尔基	90.600000
格雷格	90.600000
摩根	90.489961
卡洛	90.200000
戈登	89.600000
瑞安	89.200000
阿瑟	88.852863
麦可	88.000000
康斯坦丁	87.200000
查理	87.200000
劳拉	85.786804
马蒂亚斯	85.286975
怀特	83.407878
本杰明	83.021776
坎贝尔	82.300000
维克多	82.200000
塞巴斯蒂安	82.000000
莱恩	81.600000
比利	81.600000
哈利	81.014400
汉密尔顿	80.449917
阿德里安	80.400000
安德烈亚斯	80.000000
哈里斯	79.800000
芭芭拉	79.800000
沃尔夫冈	79.400000
格雷	79.159399
林肯镇区	79.000000
伊万尼夫卡	78.000000
米哈伊利夫卡	78.000000
弗雷德	77.393045
莎拉	77.200000
亨特	76.974480
亚当斯	76.695064
凯莉	76.541190
塞缪尔	76.200000
克雷格	75.600000
弗朗茨	75.534474
格兰特	75.460476
亚历山德里夫卡	75.000000
约翰松	74.309530
诺曼	74.000000
拉尔夫	73.800000
冈萨雷斯	73.685064
